title,view_count,like_count,channel_name,published
"역사상 초유의 사건, 고모부를 처형한 조카 김정은, 장성택을 둘러싼 여러가지 음모론 | 이제 만나러 갑니다 538 회",808647,2573,play 채널A,2022-04-10T15:09:56Z
[#이만갑모아보기] 북한 1% 엘리트 김금혁이 탈북한 이유는 남한 친구들 덕?!  | 이제 만나러 갑니다 420 회,563844,7082,play 채널A,2022-01-09T14:09:17Z
'보위원'과 같이 타는 평양행 비행기?? 의심이 확신으로 바뀌었던 순간  | 이제 만나러 갑니다 574 회,370317,3196,play 채널A,2022-12-18T14:57:02Z
＂서울 여자♥평양 남자＂ 첫 만남 썰 大공개! 북한 엘리트를 사로잡은 남한 아내!? | 이제 만나러 갑니다 596 회,283724,3396,play 채널A,2023-05-22T14:36:12Z
"[#부칸썰]김정은은 왜 송중기를 싫어할까? ""남조선 동무들 왜이리 잘생겼소"" 한국 드라마 처음 본 북한 사람들 반응 ㅋㅋㅋ | 이제 만나러 갑니다 1시간 몰아보기",423908,4654,play 채널A,2023-09-15T09:00:18Z
흔들리는 북한 MZ 세대! #이제만나러갑니다,24250,347,play 채널A,2024-07-14T15:52:42Z
"[#밥친구] 北 엘리트 조종사의 분노! 마지막 전투기 귀순자, 이철수의 영화  같은 귀순 스토리 | #이제만나러갑니다 649회",1072029,9798,채널A WORLD,2024-06-09T13:00:01Z
아직도 한국이 가난하다고 교육 중인 북한? 하지만 주민들의 한류 소비는 ING~☆ | 이제 만나러 갑니다 578 회,214136,2038,play 채널A,2023-01-15T15:41:03Z
북한의 잔인한 연좌제! 두 아들의 목숨을 두고 택해야 했던 홍순경 부부 | 이제 만나러 갑니다 653 회,54798,564,play 채널A,2024-07-01T15:09:28Z
"북한의 역대급 수해 보도, 우리의 도움을 거절한 진짜 이유는?? | 이제 만나러 갑니다 662 회",23368,202,play 채널A,2024-09-01T14:54:28Z
"[#에이콕] 불면증부터😴 뇌경색,통풍까지?!🤯💥심각한 김정은의 몸상태!⚠️☠️김정은 유고시 유력한 후계자는 과연 누구? |#이만갑 592회",1467132,9454,채널에이드: 채널A Drama & Enjoy,2024-08-07T03:00:36Z
뇌물이 약소하다~ #이제만나러갑니다,11615,112,play 채널A,2024-08-04T16:09:20Z
체질 커트라인 들어보셨나요? #이제만나러갑니다,6838,80,play 채널A,2024-06-02T15:15:00Z
[#이만갑모아보기] 탈북 막차 탄 북한의 이과 수재?! '北 카이스트' 출신이 최근 탈북한 이유 | 이제 만나러 갑니다 569 회,679349,7979,play 채널A,2022-11-20T14:08:37Z
특전사도 무서워 한다는데 #이제만나러갑니다,16755,315,play 채널A,2024-05-19T15:15:02Z
[#에이콕] 사실은 북한 납치당한 것?!😱 현재는 소리소문 없이 사라진 재입북 탈북녀 임지현! 과연 그녀의 행방은?👀 | #이만갑 532회,458634,3464,채널에이드: 채널A Drama & Enjoy,2024-08-09T03:00:21Z
한국 대학생이 북한에서 연설한다면?! 남북을 발칵 뒤집은 임수경의 방북 | 이제 만나러 갑니다 660 회,33846,262,play 채널A,2024-08-19T14:40:31Z
북파 공작원의 세계란 ㄷㄷ #이제만나러갑니다,12629,220,play 채널A,2024-05-19T15:15:05Z
한다면 하는 김정일 #이제만나러갑니다,13488,335,play 채널A,2024-05-19T15:15:00Z
"소련에 배신당한 북한, 솟아날 구멍은 '교황 섭외'?! | 이제 만나러 갑니다 529 회",149787,1586,play 채널A,2022-02-06T12:07:27Z
"북한으로 돌아간 여종업원들, 그들이 北 선전매체에서 밝힌 충격적인 기자회견 | 이제 만나러 갑니다 535 회",468915,2124,play 채널A,2022-03-20T15:15:26Z
팩트가 가장 무서운 북한 #이제만나러갑니다,101837,4639,play 채널A,2024-07-07T15:36:13Z
생활 도구가 모두 무기다? 고영환이 목격한 ✿목란꽃 중대✿ 여성의 훈련! | 이제 만나러 갑니다 580 회,53147,593,play 채널A,2023-01-29T14:26:09Z
[#이만갑모아보기] 태영호가 '이것' 때문에 죽을 뻔했다?! 영원한 비밀은 없는 태영호 북한 썰 #북한 #태영호 | 이제 만나러 갑니다 581 회,549392,5270,play 채널A,2023-05-03T10:15:42Z
??? : 러시아한테 또 달라고 하면 돼~ #이제만나러갑니다,17643,404,play 채널A,2024-06-23T15:15:02Z
[#이만갑모아보기] 북한 특수부대 출신 탈북자가 목숨 걸고 휴전선 넘은 이유 | 이제 만나러 갑니다 360 회,2036849,19524,play 채널A,2021-12-08T14:20:10Z
사상자만 다 합쳐서 수십 명;; #이제만나러갑니다,15190,176,play 채널A,2024-05-05T15:20:00Z
